datetime,open,high,low,close,tick_volume,spread,real_volume
2025-08-20 14:52:00,2276.14,2276.68,2276.14,2276.68,44,32,0
2025-08-20 14:53:00,2276.74,2276.84,2276.38,2276.54,39,32,0
2025-08-20 14:54:00,2276.54,2276.56,2275.84,2276.08,69,32,0
2025-08-20 14:55:00,2276.06,2276.16,2275.68,2276.04,51,32,0
2025-08-20 14:56:00,2276.06,2276.14,2275.94,2275.98,53,32,0
2025-08-20 14:57:00,2275.98,2276.04,2275.64,2275.84,63,32,0
2025-08-20 14:58:00,2275.84,2275.98,2275.66,2275.88,95,32,0
2025-08-20 14:59:00,2275.86,2275.94,2275.56,2275.74,72,32,0
2025-08-20 15:00:00,2275.66,2276.14,2275.58,2276.04,63,32,0
2025-08-20 15:01:00,2276.04,2276.54,2275.96,2276.44,78,32,0
2025-08-20 15:02:00,2276.38,2276.54,2276.04,2276.26,53,32,0
2025-08-20 15:03:00,2276.26,2276.28,2275.76,2276.14,46,32,0
2025-08-20 15:04:00,2276.08,2276.54,2276.0,2276.34,72,32,0
2025-08-20 15:05:00,2276.28,2276.68,2276.24,2276.58,60,32,0
2025-08-20 15:06:00,2276.6,2276.86,2276.6,2276.74,47,32,0
2025-08-20 15:07:00,2276.74,2277.34,2276.66,2277.16,50,32,0
2025-08-20 15:08:00,2277.14,2277.24,2276.94,2277.0,38,32,0
2025-08-20 15:09:00,2276.96,2277.04,2276.68,2276.68,50,32,0
2025-08-20 15:10:00,2276.58,2276.88,2276.58,2276.76,24,32,0
2025-08-20 15:11:00,2276.76,2276.84,2275.74,2275.94,50,32,0
2025-08-20 15:12:00,2275.94,2276.04,2275.68,2275.86,51,32,0
2025-08-20 15:13:00,2275.94,2276.04,2275.68,2275.74,38,32,0
2025-08-20 15:14:00,2275.74,2276.04,2275.66,2275.84,48,32,0
2025-08-20 15:15:00,2275.76,2276.04,2275.5,2275.98,70,32,0
2025-08-20 15:16:00,2276.0,2276.24,2275.74,2276.24,40,32,0
2025-08-20 15:17:00,2276.24,2276.44,2275.8,2275.8,55,32,0
2025-08-20 15:18:00,2275.8,2275.96,2275.7,2275.9,34,32,0
2025-08-20 15:19:00,2275.86,2275.88,2275.56,2275.64,53,32,0
2025-08-20 15:20:00,2275.5,2275.94,2275.44,2275.78,57,32,0
2025-08-20 15:21:00,2275.8,2276.2,2275.78,2275.9,56,32,0
2025-08-20 15:22:00,2275.9,2276.54,2275.86,2275.94,45,32,0
2025-08-20 15:23:00,2275.96,2275.96,2275.48,2275.48,47,32,0
2025-08-20 15:24:00,2275.48,2275.7,2275.34,2275.68,43,32,0
2025-08-20 15:25:00,2275.74,2276.34,2275.74,2276.16,40,32,0
2025-08-20 15:26:00,2276.14,2276.26,2275.98,2276.24,43,32,0
2025-08-20 15:27:00,2276.24,2276.28,2275.68,2275.74,51,32,0
2025-08-20 15:28:00,2275.74,2275.84,2275.44,2275.44,64,32,0
2025-08-20 15:29:00,2275.54,2275.74,2275.46,2275.6,57,32,0
2025-08-20 15:30:00,2275.58,2276.74,2275.54,2276.7,78,32,0
